analysis             sr                         o          b          db              s          ds             s95obs    s95exp    robscons          rexpcons          
atlas_1709_04183     SRB-T0                     206.0      179.0      26.0            0.0        2507.14        76.0      57.0      0                 0                 
atlas_1709_04183     SRB-TT                     38.0       39.3       7.6             0.0        2507.14        17.9      19.3      0                 0                 
atlas_1709_04183     SRB-TW                     53.0       52.4       7.4             0.0        2507.14        20.7      20.5      0                 0                 
atlas_1709_04183     SRC1                       20.0       20.5       6.6             0.0        2507.14        14.1      14.9      0                 0                 
atlas_1709_04183     SRC2                       22.0       27.6       4.9             0.0        2507.14        10.4      13.5      0                 0                 
atlas_1709_04183     SRC3                       22.0       18.9       3.4             0.0        2507.14        14.3      12.7      0                 0                 
atlas_1709_04183     SRC4                       1.0        7.7        1.2             0.0        2507.14        5.2       6.8       0                 0                 
atlas_1709_04183     SRC5                       0.0        0.9        0.7             0.0        2507.14        3.0       3.2       0                 0                 
atlas_1709_04183     SRD-high                   11.0       8.5        1.5             0.0        2507.14        9.9       7.7       0                 0                 
atlas_1709_04183     SRD-low                    27.0       25.1       6.2             0.0        2507.14        16.7      15.9      0                 0                 
atlas_1709_04183     SRE                        3.0        3.6        0.8             0.0        2507.14        4.8       5.5       0                 0                 
atlas_1712_02332     2j-1200                    582.0      517.0      31.0            0.0        2507.14        128.0     77.0      0                 0                 
atlas_1712_02332     2j-1600                    204.0      216.0      18.0            0.0        2507.14        38.0      43.0      0                 0                 
atlas_1712_02332     2j-2000                    70.0       88.0       9.0             0.0        2507.14        15.0      24.0      0                 0                 
atlas_1712_02332     2j-2100                    180.0      143.0      13.0            0.0        2507.14        67.0      37.0      0                 0                 
atlas_1712_02332     2j-2400                    33.0       40.0       4.0             0.0        2507.14        11.0      15.0      0                 0                 
atlas_1712_02332     2j-2800                    17.0       15.5       1.9             0.0        2507.14        10.7      9.7       0                 0                 
atlas_1712_02332     2j-3600                    5.0        3.3        0.8             0.0        2507.14        7.0       5.3       0                 0                 
atlas_1712_02332     2j-B1600                   23.0       21.0       4.0             0.0        2507.14        14.0      13.0      0                 0                 
atlas_1712_02332     2j-B2400                   2.0        3.9        1.0             0.0        2507.14        4.1       5.6       0                 0                 
atlas_1712_02332     3j-1300                    405.0      378.0      28.0            0.0        2507.14        86.0      67.0      0                 0                 
atlas_1712_02332     4j-1000                    135.0      120.0      11.0            0.0        2507.14        43.0      31.0      0                 0                 
atlas_1712_02332     4j-1400                    179.0      169.0      15.0            0.0        2507.14        46.0      39.0      0                 0                 
atlas_1712_02332     4j-1800                    53.0       43.0       6.0             0.0        2507.14        27.0      19.0      0                 0                 
atlas_1712_02332     4j-2200                    23.0       15.4       2.2             0.0        2507.14        17.6      10.2      0                 0                 
atlas_1712_02332     4j-2600                    4.0        4.0        1.2             0.0        2507.14        5.8       6.1       0                 0                 
atlas_1712_02332     4j-3000                    2.0        1.8        0.6             0.0        2507.14        4.4       4.3       0                 0                 
atlas_1712_02332     5j-1600                    122.0      119.0      12.0            0.0        2507.14        34.0      32.0      0                 0                 
atlas_1712_02332     5j-1700                    45.0       39.0       5.0             0.0        2507.14        21.0      17.0      0                 0                 
atlas_1712_02332     5j-2000                    52.0       58.0       7.0             0.0        2507.14        16.0      20.0      0                 0                 
atlas_1712_02332     5j-2600                    10.0       5.7        1.3             0.0        2507.14        11.3      7.2       0                 0                 
atlas_1712_02332     6j-1200                    250.0      249.0      30.0            0.0        2507.14        62.0      64.0      0                 0                 
atlas_1712_02332     6j-1800                    9.0        3.0        1.3             0.0        2507.14        12.8      7.2       0                 0                 
atlas_1712_02332     6j-2200                    3.0        1.6        0.5             0.0        2507.14        5.8       4.2       0                 0                 
atlas_1712_02332     6j-2600                    1.0        0.8        0.6             0.0        2507.14        3.5       3.5       0                 0                 
atlas_1712_08119     SRE-MLL-03                 0.0        0.01       0.1             0.0        2507.14        2.97      2.99      0                 0                 
