analysis             sr                         signal_normevents  signal_err_tot  
atlas_1807_07447     1m1e4j                     0.0                222.934         
atlas_1807_07447     1m1e5j                     0.0                222.934         
atlas_1807_07447     1m1e6j                     0.0                222.934         
atlas_1807_07447     1m1e7j                     0.0                222.934         
atlas_1807_07447     1m1g                       0.0                222.934         
atlas_1807_07447     1m1g1b                     0.0                222.934         
atlas_1807_07447     1m1g1b1j                   0.0                222.934         
atlas_1807_07447     1m1g1b2j                   0.0                222.934         
atlas_1807_07447     1m1g1b3j                   0.0                222.934         
atlas_1807_07447     1m1g1b4j                   0.0                222.934         
atlas_1807_07447     1m1g1b5j                   0.0                222.934         
atlas_1807_07447     1m1g1j                     222.934            222.937041819   
atlas_1807_07447     1m1g2b                     0.0                222.934         
atlas_1807_07447     1m1g2b1j                   0.0                222.934         
atlas_1807_07447     1m1g2b2j                   0.0                222.934         
atlas_1807_07447     1m1g2b3j                   0.0                222.934         
atlas_1807_07447     1m1g2b4j                   0.0                222.934         
atlas_1807_07447     1m1g2b5j                   0.0                222.934         
atlas_1807_07447     1m1g2j                     0.0                222.934         
atlas_1807_07447     1m1g3b                     0.0                222.934         
atlas_1807_07447     1m1g3b1j                   0.0                222.934         
atlas_1807_07447     1m1g3b2j                   0.0                222.934         
atlas_1807_07447     1m1g3j                     0.0                222.934         
atlas_1807_07447     1m1g4j                     0.0                222.934         
atlas_1807_07447     1m1g5j                     0.0                222.934         
atlas_1807_07447     1m1g6j                     0.0                222.934         
atlas_1807_07447     1m1j                       42803.328          3097.14614779   
atlas_1807_07447     1m2b                       0.0                222.934         
atlas_1807_07447     1m2b1j                     8025.624           1338.26087615   
atlas_1807_07447     1m2b2j                     3344.01            863.596366159   
atlas_1807_07447     1m2b3j                     2006.406           668.884124638   
atlas_1807_07447     1m2b4j                     445.868            315.28488982    
atlas_1807_07447     1m2b5j                     0.0                222.934         
atlas_1807_07447     1m2b6j                     0.0                222.934         
atlas_1807_07447     1m2b7j                     0.0                222.934         
atlas_1807_07447     1m2b8j                     0.0                222.934         
atlas_1807_07447     1m2e                       0.0                222.934         
atlas_1807_07447     1m2e1b                     0.0                222.934         
atlas_1807_07447     1m2e1b1j                   0.0                222.934         
atlas_1807_07447     1m2e1b2j                   0.0                222.934         
atlas_1807_07447     1m2e1b3j                   0.0                222.934         
atlas_1807_07447     1m2e1j                     0.0                222.934         
atlas_1807_07447     1m2e2b                     0.0                222.934         
atlas_1807_07447     1m2e2b1j                   0.0                222.934         
atlas_1807_07447     1m2e2b2j                   0.0                222.934         
atlas_1807_07447     1m2e2b5j                   0.0                222.934         
atlas_1807_07447     1m2e2j                     0.0                222.934         
atlas_1807_07447     1m2e3j                     0.0                222.934         
atlas_1807_07447     1m2e4j                     0.0                222.934         
atlas_1807_07447     1m2g                       0.0                222.934         
atlas_1807_07447     1m2g1b2j                   0.0                222.934         
atlas_1807_07447     1m2g1j                     0.0                222.934         
atlas_1807_07447     1m2g3j                     0.0                222.934         
atlas_1807_07447     1m2j                       16942.984          1945.50788941   
atlas_1807_07447     1m3b                       0.0                222.934         
atlas_1807_07447     1m3b1j                     445.868            315.28488982    
atlas_1807_07447     1m3b2j                     222.934            222.937041819   
atlas_1807_07447     1m3b3j                     0.0                222.934         
atlas_1807_07447     1m3b4j                     0.0                222.934         
atlas_1807_07447     1m3b5j                     0.0                222.934         
