analysis             sr                         signal_normevents  signal_err_tot  
atlas_1807_07447     14j                        0.0                222.934         
atlas_1807_07447     1b10j                      0.0                222.934         
atlas_1807_07447     1b11j                      0.0                222.934         
atlas_1807_07447     1b1j                       235195.37          7344.56226942   
atlas_1807_07447     1b2j                       156053.8           5954.348396     
atlas_1807_07447     1b3j                       68886.606          3935.30984798   
atlas_1807_07447     1b4j                       20955.796          2164.19577005   
atlas_1807_07447     1b5j                       6910.954           1241.76889317   
atlas_1807_07447     1b6j                       1560.538           589.884255756   
atlas_1807_07447     1b7j                       222.934            222.937041819   
atlas_1807_07447     1b8j                       0.0                222.934         
atlas_1807_07447     1b9j                       0.0                222.934         
atlas_1807_07447     1e1b4j                     668.802            386.148820275   
atlas_1807_07447     1e1b5j                     445.868            315.28488982    
atlas_1807_07447     1e1b6j                     0.0                222.934         
atlas_1807_07447     1e1b7j                     0.0                222.934         
atlas_1807_07447     1e1b9j                     0.0                222.934         
atlas_1807_07447     1e1g                       0.0                222.934         
atlas_1807_07447     1e1g1b                     0.0                222.934         
atlas_1807_07447     1e1g1b1j                   222.934            222.937041819   
atlas_1807_07447     1e1g1b2j                   0.0                222.934         
atlas_1807_07447     1e1g1b3j                   0.0                222.934         
atlas_1807_07447     1e1g1b4j                   0.0                222.934         
atlas_1807_07447     1e1g1b5j                   0.0                222.934         
atlas_1807_07447     1e1g1j                     0.0                222.934         
atlas_1807_07447     1e1g2b                     0.0                222.934         
atlas_1807_07447     1e1g2b1j                   0.0                222.934         
atlas_1807_07447     1e1g2b2j                   0.0                222.934         
atlas_1807_07447     1e1g2b3j                   0.0                222.934         
atlas_1807_07447     1e1g2b4j                   0.0                222.934         
atlas_1807_07447     1e1g2b5j                   0.0                222.934         
atlas_1807_07447     1e1g2j                     0.0                222.934         
atlas_1807_07447     1e1g3b                     0.0                222.934         
atlas_1807_07447     1e1g3b1j                   0.0                222.934         
atlas_1807_07447     1e1g3b2j                   0.0                222.934         
atlas_1807_07447     1e1g3b3j                   0.0                222.934         
atlas_1807_07447     1e1g3j                     0.0                222.934         
atlas_1807_07447     1e1g4j                     0.0                222.934         
atlas_1807_07447     1e1g5j                     0.0                222.934         
atlas_1807_07447     1e1g6j                     0.0                222.934         
atlas_1807_07447     1e1g7j                     0.0                222.934         
atlas_1807_07447     1e2b                       0.0                222.934         
atlas_1807_07447     1e2b1j                     7579.756           1300.52034188   
atlas_1807_07447     1e2b2j                     2229.34            705.075392758   
atlas_1807_07447     1e2b3j                     445.868            315.28488982    
atlas_1807_07447     1e2b4j                     445.868            315.28488982    
atlas_1807_07447     1e2b5j                     0.0                222.934         
atlas_1807_07447     1e2b6j                     0.0                222.934         
atlas_1807_07447     1e2b7j                     0.0                222.934         
atlas_1807_07447     1e2b8j                     0.0                222.934         
atlas_1807_07447     1e2g                       0.0                222.934         
atlas_1807_07447     1e2g1b1j                   0.0                222.934         
atlas_1807_07447     1e2g1b2j                   0.0                222.934         
atlas_1807_07447     1e2g1j                     0.0                222.934         
atlas_1807_07447     1e2g2j                     0.0                222.934         
atlas_1807_07447     1e2g3j                     0.0                222.934         
atlas_1807_07447     1e3b                       0.0                222.934         
atlas_1807_07447     1e3b1j                     445.868            315.28488982    
atlas_1807_07447     1e3b2j                     445.868            315.28488982    
atlas_1807_07447     1e3b3j                     0.0                222.934         
atlas_1807_07447     1e3b4j                     0.0                222.934         
atlas_1807_07447     1e3b5j                     0.0                222.934         
atlas_1807_07447     1e3b6j                     0.0                222.934         
atlas_1807_07447     1e4b                       0.0                222.934         
atlas_1807_07447     1e4b1j                     0.0                222.934         
atlas_1807_07447     1e4b2j                     0.0                222.934         
atlas_1807_07447     1e4b3j                     0.0                222.934         
atlas_1807_07447     1e4b4j                     0.0                222.934         
atlas_1807_07447     1e4b5j                     0.0                222.934         
atlas_1807_07447     1e5b                       0.0                222.934         
atlas_1807_07447     1e5b1j                     0.0                222.934         
atlas_1807_07447     1e5b2j                     0.0                222.934         
atlas_1807_07447     1e5j                       891.736            445.892334056   
atlas_1807_07447     1e6j                       222.934            222.937041819   
atlas_1807_07447     1e7j                       0.0                222.934         
atlas_1807_07447     1e8j                       0.0                222.934         
atlas_1807_07447     1e9j                       0.0                222.934         
atlas_1807_07447     1g10j                      0.0                222.934         
atlas_1807_07447     1g1b                       0.0                222.934         
atlas_1807_07447     1g1b1j                     891.736            445.892334056   
atlas_1807_07447     1g1b2j                     222.934            222.937041819   
atlas_1807_07447     1g1b3j                     0.0                222.934         
atlas_1807_07447     1g1b4j                     0.0                222.934         
atlas_1807_07447     1g1b5j                     222.934            222.937041819   
atlas_1807_07447     1g1b6j                     0.0                222.934         
atlas_1807_07447     1g1b7j                     0.0                222.934         
atlas_1807_07447     1g1b8j                     0.0                222.934         
atlas_1807_07447     1g1j                       445.868            315.28488982    
atlas_1807_07447     1g2b                       0.0                222.934         
atlas_1807_07447     1g2b1j                     0.0                222.934         
atlas_1807_07447     1g2b2j                     0.0                222.934         
atlas_1807_07447     1g2b3j                     0.0                222.934         
atlas_1807_07447     1g2b4j                     0.0                222.934         
atlas_1807_07447     1g2b5j                     0.0                222.934         
atlas_1807_07447     1g2b6j                     222.934            222.937041819   
atlas_1807_07447     1g2b7j                     0.0                222.934         
atlas_1807_07447     1g2j                       445.868            315.28488982    
atlas_1807_07447     1g3b                       0.0                222.934         
atlas_1807_07447     1g3b1j                     0.0                222.934         
atlas_1807_07447     1g3b2j                     0.0                222.934         
atlas_1807_07447     1g3b3j                     0.0                222.934         
atlas_1807_07447     1g3b4j                     0.0                222.934         
atlas_1807_07447     1g3j                       0.0                222.934         
atlas_1807_07447     1g4b                       0.0                222.934         
atlas_1807_07447     1g4b1j                     0.0                222.934         
atlas_1807_07447     1g4b2j                     0.0                222.934         
atlas_1807_07447     1g4j                       0.0                222.934         
atlas_1807_07447     1g5j                       0.0                222.934         
atlas_1807_07447     1g6j                       0.0                222.934         
atlas_1807_07447     1g7j                       0.0                222.934         
atlas_1807_07447     1g8j                       0.0                222.934         
atlas_1807_07447     1g9j                       0.0                222.934         
atlas_1807_07447     1m1b                       0.0                222.934         
atlas_1807_07447     1m1b1j                     34108.902          2763.29199115   
atlas_1807_07447     1m1b2j                     14044.842          1771.00417811   
atlas_1807_07447     1m1b3j                     6242.152           1180.10644483   
atlas_1807_07447     1m1b4j                     891.736            445.892334056   
atlas_1807_07447     1m1b5j                     0.0                222.934         
atlas_1807_07447     1m1b6j                     0.0                222.934         
atlas_1807_07447     1m1b7j                     0.0                222.934         
atlas_1807_07447     1m1b8j                     0.0                222.934         
atlas_1807_07447     1m1b9j                     0.0                222.934         
atlas_1807_07447     1m1e                       0.0                222.934         
atlas_1807_07447     1m1e1b                     0.0                222.934         
atlas_1807_07447     1m1e1b1j                   2006.406           668.884124638   
atlas_1807_07447     1m1e1b2j                   222.934            222.937041819   
atlas_1807_07447     1m1e1b3j                   0.0                222.934         
atlas_1807_07447     1m1e1b4j                   0.0                222.934         
atlas_1807_07447     1m1e1b5j                   0.0                222.934         
atlas_1807_07447     1m1e1b6j                   0.0                222.934         
atlas_1807_07447     1m1e1b7j                   0.0                222.934         
atlas_1807_07447     1m1e1g                     0.0                222.934         
atlas_1807_07447     1m1e1g1b                   0.0                222.934         
atlas_1807_07447     1m1e1g1b1j                 0.0                222.934         
atlas_1807_07447     1m1e1g1b2j                 0.0                222.934         
atlas_1807_07447     1m1e1g1b3j                 0.0                222.934         
atlas_1807_07447     1m1e1g1b4j                 0.0                222.934         
atlas_1807_07447     1m1e1g1j                   0.0                222.934         
atlas_1807_07447     1m1e1g2b                   0.0                222.934         
atlas_1807_07447     1m1e1g2b1j                 0.0                222.934         
atlas_1807_07447     1m1e1g2b2j                 0.0                222.934         
atlas_1807_07447     1m1e1g2j                   0.0                222.934         
atlas_1807_07447     1m1e1g3j                   0.0                222.934         
atlas_1807_07447     1m1e1j                     2675.208           772.392466034   
atlas_1807_07447     1m1e2b                     0.0                222.934         
atlas_1807_07447     1m1e2b1j                   445.868            315.28488982    
atlas_1807_07447     1m1e2b2j                   0.0                222.934         
atlas_1807_07447     1m1e2b3j                   0.0                222.934         
atlas_1807_07447     1m1e2b4j                   0.0                222.934         
atlas_1807_07447     1m1e2b5j                   0.0                222.934         
atlas_1807_07447     1m1e2b6j                   0.0                222.934         
atlas_1807_07447     1m1e2j                     668.802            386.148820275   
atlas_1807_07447     1m1e3b                     0.0                222.934         
atlas_1807_07447     1m1e3b1j                   0.0                222.934         
atlas_1807_07447     1m1e3b2j                   0.0                222.934         
atlas_1807_07447     1m1e3b3j                   0.0                222.934         
atlas_1807_07447     1m1e3b4j                   0.0                222.934         
atlas_1807_07447     1m1e3j                     0.0                222.934         
atlas_1807_07447     1m1e4b                     0.0                222.934         
atlas_1807_07447     1m1e4b1j                   0.0                222.934         
atlas_1807_07447     1m1e4b2j                   0.0                222.934         
