analysis             sr                         o          b          db              s              ds              s95obs    s95exp    robscons         rexpcons         
atlas_1807_07447     1e1g2b2j                   11.0       7.8        2.6             0.0            0.320980868329  11.4      9.2       0                0                
atlas_1807_07447     1e1g2b3j                   3.0        2.7        0.8             0.0            0.320980868329  5.4       5.3       0                0                
atlas_1807_07447     1e1g2b4j                   1.0        0.5        0.2             0.0            0.320980868329  3.7       3.1       0                0                
atlas_1807_07447     1e1g2b5j                   0.0        0.1        0.05            0.0            0.320980868329  3.0       2.9       0                0                
atlas_1807_07447     1e1g2j                     77.0       62.0       12.0            0.0            0.320980868329  40.0      30.0      0                0                
atlas_1807_07447     1e1g3b                     2.0        0.7        0.3             0.0            0.320980868329  5.0       3.4       0                0                
atlas_1807_07447     1e1g3b1j                   1.0        0.7        0.2             0.0            0.320980868329  3.6       3.0       0                0                
atlas_1807_07447     1e1g3b2j                   0.0        0.3        0.12            0.0            0.320980868329  3.0       2.9       0                0                
atlas_1807_07447     1e1g3b3j                   0.0        0.14       0.07            0.0            0.320980868329  2.94      2.95      0                0                
atlas_1807_07447     1e1g3j                     68.0       65.0       12.0            0.0            0.320980868329  29.0      28.0      0                0                
atlas_1807_07447     1e1g4j                     18.0       15.2       3.2             0.0            0.320980868329  13.2      10.9      0                0                
atlas_1807_07447     1e1g5j                     3.0        2.4        1.0             0.0            0.320980868329  5.6       5.3       0                0                
atlas_1807_07447     1e1g6j                     0.0        0.65       0.2             0.0            0.320980868329  2.95      2.89      0                0                
atlas_1807_07447     1e1g7j                     2.0        0.2        0.15            0.0            0.320980868329  5.6       3.0       0                0                
atlas_1807_07447     1e2b                       710.0      692.0      92.0            0.0            0.320980868329  179.0     172.0     0                0                
atlas_1807_07447     1e2b1j                     7512.0     6622.0     1500.0          0.0            0.320980868329  3049.0    2631.0    0                0                
atlas_1807_07447     1e2b2j                     3017.0     2662.0     500.0           0.0            0.320980868329  1098.0    918.0     0                0                
atlas_1807_07447     1e2b3j                     873.0      770.0      100.0           0.0            0.320980868329  272.0     201.0     0                0                
atlas_1807_07447     1e2b4j                     223.0      182.0      35.0            0.0            0.320980868329  99.0      74.0      0                0                
atlas_1807_07447     1e2b5j                     41.0       40.0       7.0             0.0            0.320980868329  20.0      19.0      0                0                
atlas_1807_07447     1e2b6j                     14.0       7.6        1.7             0.0            0.320980868329  14.5      8.3       0                0                
atlas_1807_07447     1e2b7j                     1.0        1.5        0.7             0.0            0.320980868329  3.8       4.0       0                0                
atlas_1807_07447     1e2b8j                     1.0        0.17       0.17            0.0            0.320980868329  3.9       2.98      0                0                
