# model-independent search for whatever
# numbers from histograms, errors might happen
# interpret results with caution
# additional signal regions in cutflow

Inputfile:
XSect:           694500 fb
 Error:          3628 fb
MCEvents:        10000
 SumOfWeights:   10000
 SumOfWeights2:  10000
 NormEvents:     2.22934e+06

SR           Sum_W  Sum_W2  Acc     N_Norm   
1m1g1b3j     0      0       0       0        
1m1g1b4j     0      0       0       0        
1m1g1b5j     0      0       0       0        
1m1g1j       1      1       0.0001  222.935  
1m1g2b       0      0       0       0        
1m1g2b1j     0      0       0       0        
1m1g2b2j     0      0       0       0        
1m1g2b3j     0      0       0       0        
1m1g2b4j     0      0       0       0        
1m1g2b5j     0      0       0       0        
1m1g2j       0      0       0       0        
1m1g3b       0      0       0       0        
1m1g3b1j     0      0       0       0        
1m1g3b2j     0      0       0       0        
1m1g3j       0      0       0       0        
1m1g4j       0      0       0       0        
1m1g5j       0      0       0       0        
1m1g6j       0      0       0       0        
1m1j         192    192     0.0192  42803.4  
1m2b         60     60      0.006   13376.1  
1m2b1j       36     36      0.0036  8025.64  
1m2b2j       15     15      0.0015  3344.02  
1m2b3j       9      9       0.0009  2006.41  
1m2b4j       2      2       0.0002  445.869  
1m2b5j       0      0       0       0        
1m2b6j       0      0       0       0        
1m2b7j       0      0       0       0        
1m2b8j       0      0       0       0        
1m2e         0      0       0       0        
1m2e1b       0      0       0       0        
1m2e1b1j     0      0       0       0        
1m2e1b2j     0      0       0       0        
1m2e1b3j     0      0       0       0        
1m2e1j       0      0       0       0        
1m2e2b       0      0       0       0        
1m2e2b1j     0      0       0       0        
1m2e2b2j     0      0       0       0        
1m2e2b5j     0      0       0       0        
1m2e2j       0      0       0       0        
1m2e3j       0      0       0       0        
1m2e4j       0      0       0       0        
1m2g         0      0       0       0        
1m2g1b2j     0      0       0       0        
1m2g1j       0      0       0       0        
1m2g3j       0      0       0       0        
1m2j         76     76      0.0076  16943    
1m3b         2      2       0.0002  445.869  
1m3b1j       2      2       0.0002  445.869  
1m3b2j       1      1       0.0001  222.935  
1m3b3j       0      0       0       0        
1m3b4j       0      0       0       0        
1m3b5j       0      0       0       0        
1m3b6j       0      0       0       0        
1m3b7j       0      0       0       0        
1m3e         0      0       0       0        
1m3j         26     26      0.0026  5796.3   
1m4b         0      0       0       0        
1m4b1j       0      0       0       0        
1m4b2j       0      0       0       0        
1m4b3j       0      0       0       0        
1m4b4j       0      0       0       0        
1m4b5j       0      0       0       0        
1m4j         7      7       0.0007  1560.54  
1m5b         0      0       0       0        
1m5b1j       0      0       0       0        
1m5b2j       0      0       0       0        
1m5j         2      2       0.0002  445.869  
1m6j         0      0       0       0        
1m7j         0      0       0       0        
1m8j         0      0       0       0        
1m9j         0      0       0       0        
2b           259    259     0.0259  57740    
2b1j         337    337     0.0337  75128.9  
2b2j         181    181     0.0181  40351.1  
2b3j         98     98      0.0098  21847.6  
2b4j         31     31      0.0031  6910.97  
2b5j         9      9       0.0009  2006.41  
2b6j         3      3       0.0003  668.803  
2b7j         1      1       0.0001  222.935  
2b8j         0      0       0       0        
2b9j         0      0       0       0        
2e           8      8       0.0008  1783.48  
2e1b         8      8       0.0008  1783.48  
2e1b1j       4      4       0.0004  891.738  
2e1b2j       0      0       0       0        
2e1b3j       1      1       0.0001  222.935  
2e1b4j       0      0       0       0        
2e1b5j       0      0       0       0        
2e1b6j       0      0       0       0        
2e1b7j       0      0       0       0        
2e1g         0      0       0       0        
2e1g1b       0      0       0       0        
2e1g1b1j     0      0       0       0        
2e1g1b2j     0      0       0       0        
2e1g1b3j     0      0       0       0        
2e1g1j       0      0       0       0        
2e1g2b       0      0       0       0        
