# model-independent search for whatever
# numbers from histograms, errors might happen
# interpret results with caution
# additional signal regions in cutflow

Inputfile:
XSect:           844100 fb
 Error:          1900 fb
MCEvents:        10000
 SumOfWeights:   8.4415e+06
 SumOfWeights2:  7.12589e+09
 NormEvents:     2.70956e+06

SR           Sum_W        Sum_W2       Acc     N_Norm   
1m6j         0            0            0       0        
1m7j         0            0            0       0        
1m8j         0            0            0       0        
1m9j         0            0            0       0        
2b           844.15       712589       0.0001  270.956  
2b1j         844.15       712589       0.0001  270.956  
2b2j         0            0            0       0        
2b3j         0            0            0       0        
2b4j         0            0            0       0        
2b5j         0            0            0       0        
2b6j         0            0            0       0        
2b7j         0            0            0       0        
2b8j         0            0            0       0        
2b9j         0            0            0       0        
2e           2.63375e+06  2.22328e+09  0.312   845383   
2e1b         2532.45      2.13777e+06  0.0003  812.868  
2e1b1j       844.15       712589       0.0001  270.956  
2e1b2j       0            0            0       0        
2e1b3j       0            0            0       0        
2e1b4j       0            0            0       0        
2e1b5j       0            0            0       0        
2e1b6j       0            0            0       0        
2e1b7j       0            0            0       0        
2e1g         0            0            0       0        
2e1g1b       0            0            0       0        
2e1g1b1j     0            0            0       0        
2e1g1b2j     0            0            0       0        
2e1g1b3j     0            0            0       0        
2e1g1j       0            0            0       0        
2e1g2b       0            0            0       0        
2e1g2b1j     0            0            0       0        
2e1g2j       0            0            0       0        
2e1g3b       0            0            0       0        
2e1g3j       0            0            0       0        
2e1g4j       0            0            0       0        
2e1g5j       0            0            0       0        
2e1j         86947.5      7.33967e+07  0.0103  27908.5  
2e2b         0            0            0       0        
2e2b1j       0            0            0       0        
2e2b2j       0            0            0       0        
2e2b3j       0            0            0       0        
2e2b4j       0            0            0       0        
2e2b5j       0            0            0       0        
2e2g         0            0            0       0        
2e2j         3376.6       2.85036e+06  0.0004  1083.82  
2e3b         0            0            0       0        
2e3b1j       0            0            0       0        
2e3b2j       0            0            0       0        
2e3b3j       0            0            0       0        
2e3b4j       0            0            0       0        
2e3j         0            0            0       0        
2e4b         0            0            0       0        
2e4b1j       0            0            0       0        
2e4j         0            0            0       0        
2e5j         0            0            0       0        
2e6j         0            0            0       0        
2e7j         0            0            0       0        
2e8j         0            0            0       0        
2g           0            0            0       0        
2g1b         0            0            0       0        
2g1b1j       0            0            0       0        
2g1b2j       0            0            0       0        
2g1b3j       0            0            0       0        
2g1b4j       0            0            0       0        
2g1b5j       0            0            0       0        
2g1j         0            0            0       0        
2g2b         0            0            0       0        
2g2b1j       0            0            0       0        
2g2b2j       0            0            0       0        
2g2b3j       0            0            0       0        
2g2j         0            0            0       0        
2g3j         0            0            0       0        
2g4j         0            0            0       0        
2g5j         0            0            0       0        
2g6j         0            0            0       0        
2g7j         0            0            0       0        
2j           10974        9.26366e+06  0.0013  3522.43  
2m           0            0            0       0        
2m1b         0            0            0       0        
2m1b1j       0            0            0       0        
2m1b2j       0            0            0       0        
2m1b3j       0            0            0       0        
2m1b4j       0            0            0       0        
2m1b5j       0            0            0       0        
2m1b6j       0            0            0       0        
2m1b7j       0            0            0       0        
2m1e         0            0            0       0        
2m1e1b       0            0            0       0        
2m1e1b1j     0            0            0       0        
2m1e1b2j     0            0            0       0        
2m1e1b3j     0            0            0       0        
2m1e1g1j     0            0            0       0        
2m1e1j       0            0            0       0        
2m1e2b       0            0            0       0        
2m1e2b1j     0            0            0       0        
2m1e2b2j     0            0            0       0        
2m1e2j       0            0            0       0        
2m1e3j       0            0            0       0        
2m1e4j       0            0            0       0        
2m1g         0            0            0       0        
2m1g1b       0            0            0       0        
2m1g1b1j     0            0            0       0        
2m1g1b2j     0            0            0       0        
2m1g1b3j     0            0            0       0        
2m1g1j       0            0            0       0        
2m1g2b       0            0            0       0        
2m1g2b1j     0            0            0       0        
2m1g2b2j     0            0            0       0        
2m1g2j       0            0            0       0        
2m1g3j       0            0            0       0        
2m1g4j       0            0            0       0        
2m1j         0            0            0       0        
2m2b         0            0            0       0        
2m2b1j       0            0            0       0        
2m2b2j       0            0            0       0        
2m2b3j       0            0            0       0        
2m2b4j       0            0            0       0        
2m2b5j       0            0            0       0        
2m2b6j       0            0            0       0        
2m2e         0            0            0       0        
2m2e1b       0            0            0       0        
2m2e1b1j     0            0            0       0        
2m2e1j       0            0            0       0        
2m2e2j       0            0            0       0        
2m2g         0            0            0       0        
2m2g2j       0            0            0       0        
2m2j         0            0            0       0        
2m3b         0            0            0       0        
2m3b1j       0            0            0       0        
2m3b2j       0            0            0       0        
2m3b3j       0            0            0       0        
2m3j         0            0            0       0        
2m4b         0            0            0       0        
2m4b1j       0            0            0       0        
2m4j         0            0            0       0        
2m5j         0            0            0       0        
2m6j         0            0            0       0        
2m7j         0            0            0       0        
2m8j         0            0            0       0        
3b           0            0            0       0        
3b1j         0            0            0       0        
3b2j         0            0            0       0        
3b3j         0            0            0       0        
3b4j         0            0            0       0        
3b5j         0            0            0       0        
3b6j         0            0            0       0        
3b7j         0            0            0       0        
3b8j         0            0            0       0        
3b9j         0            0            0       0        
3e           0            0            0       0        
3e1b         0            0            0       0        
3e1b1j       0            0            0       0        
3e1b2j       0            0            0       0        
3e1b3j       0            0            0       0        
3e1j         0            0            0       0        
3e2b         0            0            0       0        
3e2b1j       0            0            0       0        
3e2b2j       0            0            0       0        
3e2j         0            0            0       0        
3e3j         0            0            0       0        
3e4j         0            0            0       0        
3g           0            0            0       0        
3g1j         0            0            0       0        
3j           844.15       712589       0.0001  270.956  
3m           0            0            0       0        
3m1b         0            0            0       0        
3m1b1j       0            0            0       0        
3m1b2j       0            0            0       0        
3m1b3j       0            0            0       0        
3m1b4j       0            0            0       0        
3m1e2b       0            0            0       0        
3m1j         0            0            0       0        
3m2b         0            0            0       0        
3m2b1j       0            0            0       0        
3m2b2j       0            0            0       0        
3m2j         0            0            0       0        
3m3j         0            0            0       0        
3m4j         0            0            0       0        
3m5j         0            0            0       0        
4b           0            0            0       0        
4b1j         0            0            0       0        
4b2j         0            0            0       0        
4b3j         0            0            0       0        
4b4j         0            0            0       0        
4b5j         0            0            0       0        
4b6j         0            0            0       0        
4e           0            0            0       0        
4e1b         0            0            0       0        
4e1j         0            0            0       0        
4j           0            0            0       0        
4m           0            0            0       0        
4m1j         0            0            0       0        
4m2j         0            0            0       0        
5b           0            0            0       0        
5b1j         0            0            0       0        
5b2j         0            0            0       0        
5b3j         0            0            0       0        
5b4j         0            0            0       0        
5j           0            0            0       0        
6b           0            0            0       0        
6b1j         0            0            0       0        
6b2j         0            0            0       0        
6b3j         0            0            0       0        
6j           0            0            0       0        
7b           0            0            0       0        
7j           0            0            0       0        
8b1j         0            0            0       0        
8j           0            0            0       0        
9j           0            0            0       0        
MET1b        0            0            0       0        
MET1b1j      0            0            0       0        
MET1b2j      0            0            0       0        
MET1b3j      0            0            0       0        
MET1b4j      0            0            0       0        
MET1b5j      0            0            0       0        
MET1b6j      0            0            0       0        
MET1b7j      0            0            0       0        
MET1b8j      0            0            0       0        
MET1e1b      0            0            0       0        
MET1e1b1j    0            0            0       0        
MET1e1b2j    0            0            0       0        
MET1e1b3j    0            0            0       0        
MET1e1b4j    0            0            0       0        
MET1e1b5j    0            0            0       0        
MET1e1b6j    0            0            0       0        
MET1e1b7j    0            0            0       0        
MET1e1g      0            0            0       0        
MET1e1g1b    0            0            0       0        
MET1e1g1b1j  0            0            0       0        
MET1e1g1b2j  0            0            0       0        
MET1e1g1b3j  0            0            0       0        
MET1e1g1j    0            0            0       0        
MET1e1g2b2j  0            0            0       0        
MET1e1g2j    0            0            0       0        
MET1e1g3j    0            0            0       0        
MET1e1g4j    0            0            0       0        
MET1e1j      0            0            0       0        
MET1e2b      0            0            0       0        
MET1e2b1j    0            0            0       0        
MET1e2b2j    0            0            0       0        
MET1e2b3j    0            0            0       0        
MET1e2b4j    0            0            0       0        
MET1e2b5j    0            0            0       0        
MET1e2j      0            0            0       0        
MET1e3b      0            0            0       0        
MET1e3b1j    0            0            0       0        
MET1e3b2j    0            0            0       0        
MET1e3b3j    0            0            0       0        
MET1e3b4j    0            0            0       0        
MET1e3j      0            0            0       0        
MET1e4b1j    0            0            0       0        
MET1e4j      0            0            0       0        
MET1e5j      0            0            0       0        
MET1e6j      0            0            0       0        
MET1e7j      0            0            0       0        
MET1e8j      0            0            0       0        
MET1g        0            0            0       0        
MET1g1b      0            0            0       0        
MET1g1b1j    0            0            0       0        
MET1g1b2j    0            0            0       0        
MET1g1b3j    0            0            0       0        
MET1g1b4j    0            0            0       0        
MET1g1j      0            0            0       0        
MET1g2b      0            0            0       0        
MET1g2b1j    0            0            0       0        
MET1g2b2j    0            0            0       0        
MET1g2b3j    0            0            0       0        
MET1g2j      0            0            0       0        
MET1g3j      0            0            0       0        
MET1g4j      0            0            0       0        
MET1g5j      0            0            0       0        
MET1g6j      0            0            0       0        
MET1j        844.15       712589       0.0001  270.956  
MET1m1b      0            0            0       0        
MET1m1b1j    0            0            0       0        
MET1m1b2j    0            0            0       0        
MET1m1b3j    0            0            0       0        
MET1m1b4j    0            0            0       0        
MET1m1b5j    0            0            0       0        
MET1m1b6j    0            0            0       0        
MET1m1b7j    0            0            0       0        
MET1m1e      0            0            0       0        
MET1m1e1b    0            0            0       0        
MET1m1e1b1j  0            0            0       0        
MET1m1e1b2j  0            0            0       0        
MET1m1e1b3j  0            0            0       0        
MET1m1e1b4j  0            0            0       0        
MET1m1e1g    0            0            0       0        
MET1m1e1g1b  0            0            0       0        
MET1m1e1g1j  0            0            0       0        
MET1m1e1j    0            0            0       0        
MET1m1e2b    0            0            0       0        
MET1m1e2b1j  0            0            0       0        
MET1m1e2b2j  0            0            0       0        
MET1m1e2b3j  0            0            0       0        
MET1m1e2b4j  0            0            0       0        
MET1m1e2j    0            0            0       0        
MET1m1e3j    0            0            0       0        
MET1m1e4j    0            0            0       0        
MET1m1e5j    0            0            0       0        
MET1m1g      0            0            0       0        
MET1m1g1b    0            0            0       0        
MET1m1g1b1j  0            0            0       0        
MET1m1g1b2j  0            0            0       0        
MET1m1g1b3j  0            0            0       0        
MET1m1g1j    0            0            0       0        
MET1m1g2j    0            0            0       0        
MET1m1g3j    0            0            0       0        
MET1m1g4j    0            0            0       0        
MET1m1g5j    0            0            0       0        
MET1m1j      0            0            0       0        
MET1m2b      0            0            0       0        
MET1m2b1j    0            0            0       0        
MET1m2b2j    0            0            0       0        
MET1m2b3j    0            0            0       0        
MET1m2b4j    0            0            0       0        
MET1m2b5j    0            0            0       0        
MET1m2b6j    0            0            0       0        
MET1m2e      0            0            0       0        
MET1m2e1j    0            0            0       0        
MET1m2e2j    0            0            0       0        
MET1m2j      0            0            0       0        
MET1m3b      0            0            0       0        
MET1m3b1j    0            0            0       0        
MET1m3b2j    0            0            0       0        
MET1m3b3j    0            0            0       0        
MET1m3b4j    0            0            0       0        
MET1m3j      0            0            0       0        
MET1m4j      0            0            0       0        
MET1m5j      0            0            0       0        
MET1m6j      0            0            0       0        
MET1m7j      0            0            0       0        
MET2b        0            0            0       0        
MET2b1j      0            0            0       0        
MET2b2j      0            0            0       0        
MET2b3j      0            0            0       0        
MET2b4j      0            0            0       0        
MET2b5j      0            0            0       0        
MET2b6j      0            0            0       0        
MET2e        0            0            0       0        
MET2e1b      0            0            0       0        
MET2e1b1j    0            0            0       0        
MET2e1b2j    0            0            0       0        
MET2e1b3j    0            0            0       0        
MET2e1b4j    0            0            0       0        
MET2e1j      0            0            0       0        
MET2e2b      0            0            0       0        
MET2e2b1j    0            0            0       0        
MET2e2b2j    0            0            0       0        
MET2e2b3j    0            0            0       0        
MET2e2j      0            0            0       0        
MET2e3j      0            0            0       0        
MET2e4j      0            0            0       0        
MET2g        0            0            0       0        
MET2g1b2j    0            0            0       0        
MET2g1j      0            0            0       0        
MET2g2j      0            0            0       0        
MET2j        0            0            0       0        
MET2m        0            0            0       0        
MET2m1b      0            0            0       0        
MET2m1b1j    0            0            0       0        
MET2m1b2j    0            0            0       0        
MET2m1b3j    0            0            0       0        
MET2m1b4j    0            0            0       0        
MET2m1e      0            0            0       0        
MET2m1e1j    0            0            0       0        
MET2m1e2j    0            0            0       0        
MET2m1j      0            0            0       0        
MET2m2b      0            0            0       0        
MET2m2b1j    0            0            0       0        
MET2m2b2j    0            0            0       0        
MET2m2b3j    0            0            0       0        
MET2m2j      0            0            0       0        
MET2m3j      0            0            0       0        
MET2m4j      0            0            0       0        
MET2m5j      0            0            0       0        
MET3b        0            0            0       0        
MET3b1j      0            0            0       0        
MET3b2j      0            0            0       0        
MET3b3j      0            0            0       0        
MET3b4j      0            0            0       0        
