# CMS
# 13 TeV, lumi 2.2 fb^-1
# Search for new physics in final states with two
# opposite-sign same-flavor leptons, jets and MET in pp
# collisions at sqrt(s) = 13 TeV

Inputfile:
XSect:           844100 fb
 Error:          1900 fb
MCEvents:        10000
 SumOfWeights:   8.4415e+06
 SumOfWeights2:  7.12589e+09
 NormEvents:     1.85702e+06

Cut                       Sum_W       Sum_W2       Acc     N_Norm       
e.vhigh_b.jet2_for_b0     844.15      712589       0.0001  185.702      
e.vhigh_b.jet2_for_b1     0           0            0       0            
e.vhigh_b.jet3_cen_b0     0           0            0       0            
e.vhigh_b.jet3_cen_b1     0           0            0       0            
e.vhigh_b.jet3_for_b0     0           0            0       0            
e.vhigh_b.jet3_for_b1     0           0            0       0            
e.vhigh_c.MET100_cen_b0   0           0            0       0            
e.vhigh_c.MET100_cen_b1   0           0            0       0            
e.vhigh_c.MET100_for_b0   0           0            0       0            
e.vhigh_c.MET100_for_b1   0           0            0       0            
e.vhigh_c.MET150_cen_b0   0           0            0       0            
e.vhigh_c.MET150_cen_b1   0           0            0       0            
e.vhigh_c.MET150_for_b0   0           0            0       0            
e.vhigh_c.MET150_for_b1   0           0            0       0            
e.vhigh_d.signal_cen_b0   0           0            0       0            
e.vhigh_d.signal_cen_b1   0           0            0       0            
e.vhigh_d.signal_for_b0   0           0            0       0            
e.vhigh_d.signal_for_b1   0           0            0       0            
